path,label,entropy,repeat_rate
data/raw/voice_dataset/USA/male/1/original.m4a,real,9.979184092581947,0.004405556712299585
data/raw/voice_dataset/USA/male/1/synthetic_1.mp3,fake,9.849695287518077,0.07346567511558533
data/raw/voice_dataset/USA/male/1/synthetic_3.mp3,fake,9.906810910257686,0.05474834516644478
data/raw/voice_dataset/USA/male/1/synthetic_2.mp3,fake,9.881439491660364,0.04898044839501381
data/raw/voice_dataset/USA/male/4/original.m4a,real,9.975696487006402,0.0055081406608223915
data/raw/voice_dataset/USA/male/4/synthetic_1.mp3,fake,9.847763304234675,0.07689919322729111
data/raw/voice_dataset/USA/male/4/synthetic_3.mp3,fake,9.872768246618513,0.06967639923095703
data/raw/voice_dataset/USA/male/4/synthetic_2.mp3,fake,9.845520909163406,0.06732828170061111
data/raw/voice_dataset/USA/male/3/original.m4a,real,9.97974648852484,0.006770589388906956
data/raw/voice_dataset/USA/male/3/synthetic_1.mp3,fake,9.89201439794188,0.05781329423189163
data/raw/voice_dataset/USA/male/3/synthetic_3.mp3,fake,9.909706382135905,0.05154581740498543
data/raw/voice_dataset/USA/male/3/synthetic_2.mp3,fake,9.900457627242986,0.042279645800590515
data/raw/voice_dataset/USA/male/2/original.m4a,real,9.980281699079253,0.004273697733879089
data/raw/voice_dataset/USA/male/2/synthetic_1.mp3,fake,9.918937350481368,0.045646943151950836
data/raw/voice_dataset/USA/male/2/synthetic_3.mp3,fake,9.932999107325458,0.04120955616235733
data/raw/voice_dataset/USA/male/2/synthetic_2.mp3,fake,9.929603986596177,0.02794242836534977
data/raw/voice_dataset/USA/male/5/original.m4a,real,9.980508690449373,0.006174116861075163
data/raw/voice_dataset/USA/male/5/synthetic_1.mp3,fake,9.898790734817208,0.05620201677083969
data/raw/voice_dataset/USA/male/5/synthetic_3.mp3,fake,9.917769224073961,0.049585383385419846
data/raw/voice_dataset/USA/male/5/synthetic_2.mp3,fake,9.902895129809814,0.04650012031197548
data/raw/voice_dataset/USA/female/1/original.mp3,real,9.982124855236814,0.004562621004879475
data/raw/voice_dataset/USA/female/1/synthetic_1.mp3,fake,9.988339568717738,0.004160159267485142
data/raw/voice_dataset/USA/female/1/synthetic_3.mp3,fake,9.980398422954746,0.01239680964499712
data/raw/voice_dataset/USA/female/1/synthetic_2.mp3,fake,9.987010145144573,0.005945076700299978
data/raw/voice_dataset/USA/female/4/original.mp3,real,9.985181000747678,0.0038124844431877136
data/raw/voice_dataset/USA/female/4/synthetic_1.mp3,fake,9.990187488464322,0.0034116902388632298
